,A,F,pe,ds,ec,beta,dl,du
280,75,6,0.01,0.001,0.001,0.2029517204323382,-0.9901366666666667,97.63333333333333
281,75,7,0.01,0.001,0.001,0.17879739000300898,-0.9901185714285714,97.81428571428572
282,75,8,0.01,0.001,0.001,0.16010946686861272,-0.990105,97.95
283,75,9,0.01,0.001,0.001,0.14518705732637877,-0.9900944444444445,98.05555555555556
284,75,10,0.01,0.001,0.001,0.13297472994662884,-0.990086,98.14
285,75,11,0.01,0.001,0.001,0.12278135634393376,-0.990079090909091,98.20909090909092
286,75,12,0.01,0.001,0.001,0.11413459871281517,-0.9900733333333334,98.26666666666667
287,75,13,0.01,0.001,0.001,0.10670021405724318,-0.9900684615384615,98.31538461538462
288,75,14,0.01,0.001,0.001,0.10023474336983897,-0.9900642857142857,98.35714285714286
289,75,15,0.01,0.001,0.001,0.09455647330359196,-0.9900606666666667,98.39333333333333
290,75,16,0.01,0.001,0.001,0.08952691458366835,-0.9900575,98.425
291,75,17,0.01,0.001,0.001,0.0850385952065122,-0.9900547058823529,98.45294117647059
292,75,18,0.01,0.001,0.001,0.0810067851255649,-0.9900522222222222,98.47777777777777
293,75,19,0.01,0.001,0.001,0.07736374647531577,-0.99005,98.5
294,75,20,0.01,0.001,0.001,0.07405465118435424,-0.990048,98.52
295,75,21,0.01,0.001,0.001,0.07103462630765925,-0.9900461904761905,98.53809523809524
296,75,22,0.01,0.001,0.001,0.06826657861339006,-0.9900445454545455,98.55454545454545
297,75,23,0.01,0.001,0.001,0.06571956806769136,-0.9900430434782609,98.56956521739131
298,75,24,0.01,0.001,0.001,0.06336757469399129,-0.9900416666666667,98.58333333333333
299,75,25,0.01,0.001,0.001,0.061188551791269634,-0.9900404,98.59599999999999
300,78,2,0.01,0.001,0.001,0.486580164774729,-0.990405,94.95
301,78,3,0.01,0.001,0.001,0.35472182865347957,-0.9902733333333333,96.26666666666667
302,78,4,0.01,0.001,0.001,0.2820249069889138,-0.9902075,96.925
303,78,5,0.01,0.001,0.001,0.2354857558577861,-0.990168,97.32
304,78,6,0.01,0.001,0.001,0.20293336944394946,-0.9901416666666667,97.58333333333333
305,78,7,0.01,0.001,0.001,0.1787839328264166,-0.9901228571428572,97.77142857142857
306,78,8,0.01,0.001,0.001,0.1600991781306846,-0.99010875,97.91250000000001
307,78,9,0.01,0.001,0.001,0.14517893678850546,-0.9900977777777777,98.02222222222223
308,78,10,0.01,0.001,0.001,0.13296815802503661,-0.990089,98.11
309,78,11,0.01,0.001,0.001,0.12277592886144482,-0.9900818181818182,98.18181818181819
310,78,12,0.01,0.001,0.001,0.11413004081763656,-0.9900758333333334,98.24166666666666
311,78,13,0.01,0.001,0.001,0.10669633234981969,-0.9900707692307692,98.29230769230769
312,78,14,0.01,0.001,0.001,0.10023139782202195,-0.9900664285714286,98.33571428571429
313,78,15,0.01,0.001,0.001,0.09455356004192253,-0.9900626666666666,98.37333333333333
314,78,16,0.01,0.001,0.001,0.08952435493146334,-0.990059375,98.40625
315,78,17,0.01,0.001,0.001,0.08503632848257946,-0.9900564705882353,98.43529411764706
316,78,18,0.01,0.001,0.001,0.08100476377859013,-0.9900538888888889,98.46111111111111
317,78,19,0.01,0.001,0.001,0.07736193271561317,-0.9900515789473684,98.48421052631579
318,78,20,0.01,0.001,0.001,0.07405301460170359,-0.9900495,98.505
319,78,21,0.01,0.001,0.001,0.07103314215415472,-0.9900476190476191,98.52380952380952
320,78,22,0.01,0.001,0.001,0.0682652265443757,-0.9900459090909091,98.5409090909091
321,78,23,0.01,0.001,0.001,0.06571833120430098,-0.990044347826087,98.55652173913043
322,78,24,0.01,0.001,0.001,0.06336643891537946,-0.9900429166666667,98.57083333333333
323,78,25,0.01,0.001,0.001,0.061187505193460785,-0.9900416,98.58399999999999
324,78,26,0.01,0.001,0.001,0.05916272307148764,-0.9900403846153846,98.59615384615384
325,81,2,0.01,0.001,0.001,0.48641029727649254,-0.99042,94.8
326,81,3,0.01,0.001,0.001,0.35464737390974627,-0.9902833333333333,96.16666666666667
327,81,4,0.01,0.001,0.001,0.2819833132106783,-0.990215,96.85000000000001
